"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144891.18",392.959082609959,-4.09195355564039,0.49232318218369,-8.31151914783011,9.44845983323904e-17,8.70218308598267e-15
"ENSG00000121671.12",2431.18270046428,-1.57408898012559,0.189633396417007,-8.30069497180838,1.03504124901571e-16,9.48218905946678e-15
"ENSG00000138685.17",712.812995819478,-3.12851428723247,0.376945610672528,-8.2996437646554,1.04424035831336e-16,9.51584745567774e-15
"ENSG00000164283.13",331.556529045115,4.35379075770402,0.524648057521124,8.29849781256214,1.05436043949734e-16,9.5574999207698e-15
"ENSG00000103175.11",1894.34273226013,-2.94178020793363,0.355451411359081,-8.27618097417487,1.2718864756381e-16,1.1468953282678e-14
"ENSG00000004799.8",7908.20557640038,-3.75978322072334,0.454727851000425,-8.26820528465899,1.35990588646202e-16,1.20772987733622e-14
"ENSG00000156113.24",3468.2112176829,-4.37076169612605,0.528559703545324,-8.26919204549473,1.34869868590745e-16,1.20772987733622e-14
"ENSG00000277494.2",272.2396183423,-3.5388983173304,0.428015062611111,-8.26816303085528,1.36038783140699e-16,1.20772987733622e-14
"ENSG00000151320.11",1182.94442686912,-4.23129239233558,0.512678162974351,-8.25331113731728,1.54065262041301e-16,1.36075179904478e-14
"ENSG00000072952.19",4704.84224588348,-3.15117060534941,0.382131873315931,-8.24629094141056,1.63386591570817e-16,1.43571799317561e-14
"ENSG00000126785.13",852.312597515019,-2.26841462900318,0.275140337938976,-8.24457310038738,1.65750903301165e-16,1.44910040992688e-14
"ENSG00000150995.20",3646.37272451245,-3.15018784390555,0.382336347790989,-8.23931039281586,1.73206060561042e-16,1.50663029345597e-14
"ENSG00000131018.24",3788.31147097515,-2.60288207710961,0.316081413451088,-8.23484699302763,1.79787270405347e-16,1.55601816994537e-14
"ENSG00000106144.20",1927.71670388619,1.20370280458618,0.146324291900082,8.2262677574284,1.93137014063524e-16,1.66319939660804e-14
"ENSG00000112320.12",968.076004750313,-3.31324625515315,0.403031099153027,-8.22082033400391,2.0211586409368e-16,1.73186145636092e-14
"ENSG00000075073.15",1193.92149460191,-5.04685928366626,0.614902454412129,-8.2075770676363,2.25696593558016e-16,1.92434278754936e-14
"ENSG00000165966.16",975.235990216126,-4.99482204131151,0.608652425711007,-8.20636184186194,2.27991621897181e-16,1.9343348295247e-14
"ENSG00000008441.18",4764.06828223727,-2.32275254455926,0.283368101029474,-8.19694431420023,2.46574598123293e-16,2.07366117341377e-14
"ENSG00000048540.15",2339.05849788043,-4.59668655820487,0.560868631289314,-8.19565634761583,2.49229439062097e-16,2.07366117341377e-14
