"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000020181.18","ENSG00000020181",1,11,12
"ENSG00000145604.17","ENSG00000145604",15,16,31
"ENSG00000125885.13","ENSG00000125885",0,0,0
"ENSG00000140538.16","ENSG00000140538",16,3,19
"ENSG00000112561.19","ENSG00000112561",6,0,6
"ENSG00000171992.13","ENSG00000171992",5,26,31
"ENSG00000140287.11","ENSG00000140287",0,0,0
"ENSG00000140534.14","ENSG00000140534",2,3,5
"ENSG00000165072.10","ENSG00000165072",12,96,108
"ENSG00000232063.2","ENSG00000232063",0,1,1
"ENSG00000158887.19","ENSG00000158887",2,0,2
"ENSG00000102804.15","ENSG00000102804",1,0,1
"ENSG00000138735.16","ENSG00000138735",0,42,42
"ENSG00000104490.18","ENSG00000104490",17,60,77
"ENSG00000141404.17","ENSG00000141404",8,129,137
"ENSG00000197757.8","ENSG00000197757",0,0,0
"ENSG00000124491.16","ENSG00000124491",0,2,2
"ENSG00000112562.19","ENSG00000112562",0,49,49
"ENSG00000196890.4","ENSG00000196890",8,13,21
"ENSG00000135709.12","ENSG00000135709",1,3,4
"ENSG00000180806.5","ENSG00000180806",0,0,0
"ENSG00000120254.16","ENSG00000120254",15,6,21
"ENSG00000146374.14","ENSG00000146374",0,0,0
"ENSG00000179051.14","ENSG00000179051",62,13,75
"ENSG00000136161.13","ENSG00000136161",0,0,0
"ENSG00000168411.14","ENSG00000168411",24,3,27
"ENSG00000127472.11","ENSG00000127472",3,84,87
"ENSG00000187720.14","ENSG00000187720",3,0,3
"ENSG00000136160.17","ENSG00000136160",1,1,2
"ENSG00000286039.1","ENSG00000286039",2,24,26
"ENSG00000157110.16","ENSG00000157110",3,81,84
"ENSG00000159259.8","ENSG00000159259",1,7,8
"ENSG00000198771.11","ENSG00000198771",0,3,3
"ENSG00000105048.17","ENSG00000105048",14,2,16
"ENSG00000106484.16","ENSG00000106484",0,0,0
"ENSG00000198947.16","ENSG00000198947",27,147,174
"ENSG00000273802.2","ENSG00000273802",1,0,1
"ENSG00000241839.10","ENSG00000241839",0,0,0
"ENSG00000103316.12","ENSG00000103316",0,1,1
"ENSG00000176533.13","ENSG00000176533",0,1,1
"ENSG00000122786.20","ENSG00000122786",7,151,158
